rule,samples,positive_rate
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean > 3.993146 and net_gex_cross_persistence__minimum > 1.966276,24,0.958333333
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum <= 0.234104 and gamma_flip_strike_perc_cross_persistence__mean <= 3.993146 and gamma_flip_strike_perc_cross_persistence__variance <= 0.000639 and gamma_flip_strike_perc_cross_persistence__maximum > 2.038618 and gamma_flip_strike_perc_nearflip_approach_speed <= -0.110086,24,0.875
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median > 0.838294 and net_gex_instability__standard_deviation > 0.009218,22,0.818181818
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation <= 0.001454,22,0.818181818
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation <= 0.001328 and net_gex_vol_potential__standard_deviation <= 0.001289 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.005236 and gamma_flip_strike_perc_vol10__standard_deviation > 0.004927,21,0.80952381
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation <= 0.000680 and net_gex_vol_potential__standard_deviation > 0.005907 and gamma_flip_strike_perc_vol10__standard_deviation > 0.003916 and gamma_flip_strike_perc_cross_persistence__median <= 2.002895,26,0.807692308
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation > 0.007067 and gamma_flip_strike_perc_cross_persistence__median > 2.990622,30,0.8
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation <= 0.007067 and gamma_flip_strike_perc_instability__standard_deviation > 0.000680 and gamma_flip_strike_perc_nearflip_approach_speed__absolute_maximum > 0.234104 and net_gex_instability__standard_deviation > 0.001328 and net_gex_instability__standard_deviation > 0.001454 and gamma_flip_strike_perc_nearflip_approach_speed__median > 0.838294 and net_gex_instability__standard_deviation <= 0.009218 and net_gex_cross_persistence__minimum > 3.931056,24,0.75
gamma_flip_strike_perc_smooth5__absolute_maximum <= 0.004418,28,0.75
gamma_flip_strike_perc_smooth5__absolute_maximum > 0.004418 and gamma_flip_strike_perc_smooth5__root_mean_square > 0.012848 and gamma_flip_strike_perc_vol10__standard_deviation > 0.007067 and gamma_flip_strike_perc_cross_persistence__median <= 2.990622 and gamma_flip_strike_perc_cross_persistence__minimum <= 1.961113,22,0.727272727
